Datetime,Close,High,Low,Open,Volume
2026-05-29 09:30:00-04:00,314.3511047363281,315.0,311.5,311.7749938964844,3159685
2026-05-29 09:35:00-04:00,314.19000244140625,314.67999267578125,313.6499938964844,314.3999938964844,684028
2026-05-29 09:40:00-04:00,314.0199890136719,314.9599914550781,313.7200012207031,314.19000244140625,638497
2026-05-29 09:45:00-04:00,313.3900146484375,314.17999267578125,312.8800964355469,314.010009765625,527120
2026-05-29 09:50:00-04:00,313.3599853515625,313.57000732421875,313.05999755859375,313.3500061035156,379012
2026-05-29 09:55:00-04:00,313.4849853515625,313.55999755859375,313.17999267578125,313.3550109863281,435332
2026-05-29 10:00:00-04:00,313.4800109863281,313.739990234375,313.1499938964844,313.4800109863281,420526
2026-05-29 10:05:00-04:00,312.9599914550781,313.4800109863281,312.82000732421875,313.4800109863281,407273
2026-05-29 10:10:00-04:00,313.30999755859375,313.4100036621094,312.8999938964844,312.9700012207031,400418
2026-05-29 10:15:00-04:00,313.0150146484375,313.35101318359375,312.81988525390625,313.29998779296875,342207
2026-05-29 10:20:00-04:00,313.3900146484375,313.6000061035156,312.8900146484375,313.0199890136719,488144
2026-05-29 10:25:00-04:00,313.67498779296875,313.8999938964844,313.2701110839844,313.3999938964844,572223
2026-05-29 10:30:00-04:00,313.8550109863281,314.05999755859375,313.5,313.6600036621094,473842
2026-05-29 10:35:00-04:00,313.4100036621094,313.9750061035156,313.3299865722656,313.8550109863281,442832
2026-05-29 10:40:00-04:00,312.9949951171875,313.7300109863281,312.8999938964844,313.4200134277344,493542
2026-05-29 10:45:00-04:00,312.239990234375,313.0,312.1400146484375,313.0,631967
2026-05-29 10:50:00-04:00,311.9599914550781,312.5281066894531,311.8599853515625,312.239990234375,519719
2026-05-29 10:55:00-04:00,311.44000244140625,312.1499938964844,311.1449890136719,311.960693359375,632636
2026-05-29 11:00:00-04:00,310.6700134277344,311.4700012207031,310.6199951171875,311.3599853515625,572844
2026-05-29 11:05:00-04:00,310.92498779296875,310.94500732421875,310.4200134277344,310.6700134277344,568345
2026-05-29 11:10:00-04:00,310.8349914550781,310.9599914550781,310.4800109863281,310.9219970703125,452839
2026-05-29 11:15:00-04:00,311.6050109863281,311.75,310.8301086425781,310.8500061035156,389035
2026-05-29 11:20:00-04:00,311.54998779296875,311.75,311.4200134277344,311.6000061035156,297175
2026-05-29 11:25:00-04:00,311.79998779296875,312.0,311.2705993652344,311.5299987792969,351482
2026-05-29 11:30:00-04:00,311.7850036621094,311.92999267578125,311.6700134277344,311.8299865722656,204897
2026-05-29 11:35:00-04:00,311.7699890136719,312.0199890136719,311.6000061035156,311.7699890136719,210955
2026-05-29 11:40:00-04:00,311.2900085449219,311.989990234375,311.239990234375,311.739990234375,290091
2026-05-29 11:45:00-04:00,311.2300109863281,311.364990234375,310.9599914550781,311.2900085449219,295567
2026-05-29 11:50:00-04:00,311.0,311.25,310.90008544921875,311.2349853515625,275494
2026-05-29 11:55:00-04:00,310.5799865722656,311.2200012207031,310.5799865722656,310.989990234375,342332
2026-05-29 12:00:00-04:00,311.1300048828125,311.2799987792969,310.45001220703125,310.6000061035156,282549
2026-05-29 12:05:00-04:00,311.0849914550781,311.19000244140625,310.989990234375,311.1199951171875,155411
2026-05-29 12:10:00-04:00,311.1326904296875,311.35980224609375,311.05999755859375,311.0899963378906,184451
2026-05-29 12:15:00-04:00,311.1351013183594,311.2200012207031,310.9549865722656,311.135009765625,167182
2026-05-29 12:20:00-04:00,311.114990234375,311.489990234375,311.0281066894531,311.135009765625,202179
2026-05-29 12:25:00-04:00,311.1900939941406,311.2850036621094,310.864990234375,311.114990234375,178871
2026-05-29 12:30:00-04:00,311.4599914550781,311.5899963378906,311.05999755859375,311.20001220703125,237443
2026-05-29 12:35:00-04:00,311.6400146484375,311.69000244140625,311.3800048828125,311.44500732421875,209718
2026-05-29 12:40:00-04:00,311.3999938964844,311.68499755859375,311.3500061035156,311.6400146484375,150428
2026-05-29 12:45:00-04:00,311.25,311.4200134277344,311.20001220703125,311.3999938964844,144820
2026-05-29 12:50:00-04:00,311.07000732421875,311.29998779296875,310.9700012207031,311.260009765625,155383
2026-05-29 12:55:00-04:00,311.0799865722656,311.1304016113281,310.8500061035156,311.07501220703125,155480
2026-05-29 13:00:00-04:00,310.68499755859375,311.1000061035156,310.67999267578125,311.0899963378906,156995
2026-05-29 13:05:00-04:00,310.67999267578125,310.80999755859375,310.5884094238281,310.68499755859375,479949
2026-05-29 13:10:00-04:00,310.70001220703125,310.7200012207031,310.3999938964844,310.68499755859375,537985
2026-05-29 13:15:00-04:00,310.3500061035156,310.739990234375,310.30999755859375,310.7099914550781,197583
2026-05-29 13:20:00-04:00,310.489990234375,310.6199951171875,310.20001220703125,310.3599853515625,314920
2026-05-29 13:25:00-04:00,310.4200134277344,310.55010986328125,310.30999755859375,310.4801025390625,620202
2026-05-29 13:30:00-04:00,310.1700134277344,310.55999755859375,310.05999755859375,310.4200134277344,388822
2026-05-29 13:35:00-04:00,310.0,310.2449951171875,309.9100036621094,310.17999267578125,336972
2026-05-29 13:40:00-04:00,310.0450134277344,310.19000244140625,309.9100036621094,309.9949951171875,268924
2026-05-29 13:45:00-04:00,309.8500061035156,310.1199951171875,309.82000732421875,310.0400085449219,354220
2026-05-29 13:50:00-04:00,309.87969970703125,310.05499267578125,309.77191162109375,309.8599853515625,252509
2026-05-29 13:55:00-04:00,309.57000732421875,309.9599914550781,309.5299987792969,309.875,286339
2026-05-29 14:00:00-04:00,309.8301086425781,310.05999755859375,309.5299987792969,309.57000732421875,379089
2026-05-29 14:05:00-04:00,310.2200012207031,310.2699890136719,309.79998779296875,309.80999755859375,434271
2026-05-29 14:10:00-04:00,310.090087890625,310.2749938964844,309.9800109863281,310.2200012207031,196522
2026-05-29 14:15:00-04:00,310.25030517578125,310.260009765625,310.0350036621094,310.1099853515625,148015
2026-05-29 14:20:00-04:00,310.1199951171875,310.2749938964844,310.05999755859375,310.2550048828125,197765
2026-05-29 14:25:00-04:00,310.260009765625,310.3599853515625,310.07000732421875,310.114990234375,236074
2026-05-29 14:30:00-04:00,310.6199951171875,310.6416931152344,310.25,310.260009765625,615007
2026-05-29 14:35:00-04:00,310.42498779296875,310.69000244140625,310.3999938964844,310.625,178270
2026-05-29 14:40:00-04:00,310.57000732421875,310.6400146484375,310.3599853515625,310.4200134277344,178977
2026-05-29 14:45:00-04:00,310.44000244140625,310.5899963378906,310.2099914550781,310.5799865722656,180576
2026-05-29 14:50:00-04:00,310.5299072265625,310.55999755859375,310.3500061035156,310.44000244140625,155105
2026-05-29 14:55:00-04:00,310.5799865722656,310.7699890136719,310.5,310.5201110839844,199289
2026-05-29 15:00:00-04:00,311.03509521484375,311.1000061035156,310.5799865722656,310.5799865722656,298346
2026-05-29 15:05:00-04:00,311.2099914550781,311.4559020996094,311.0350036621094,311.0350036621094,1155529
2026-05-29 15:10:00-04:00,311.5799865722656,311.6300048828125,311.1700134277344,311.2200012207031,253206
2026-05-29 15:15:00-04:00,311.2799987792969,311.5899963378906,311.2149963378906,311.5690002441406,290997
2026-05-29 15:20:00-04:00,311.42999267578125,311.4700012207031,310.8949890136719,311.2850036621094,314822
